iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
151	50248	15829	15829	0	6989	0	0	6878	0	0	11307	0	0	7191	0	0	2054	0	15829	50248
152	50248	15829	15829	0	6989	0	0	6874	0	0	11308	0	0	7196	0	0	2052	0	15829	50248
153	50248	15834	15834	0	6998	0	0	6845	0	0	11312	0	0	7200	0	0	2059	0	15834	50248
154	50248	15835	15835	0	6994	0	0	6844	0	0	11315	0	0	7203	0	0	2057	0	15835	50248
155	50248	15841	15841	0	6992	0	0	6842	0	0	11319	0	0	7205	0	0	2049	0	15841	50248
156	50248	15843	15843	0	6996	0	0	6841	0	0	11322	0	0	7200	0	0	2046	0	15843	50248
157	50248	15858	15858	0	6991	0	0	6836	0	0	11322	0	0	7199	0	0	2042	0	15858	50248
158	50248	15861	15861	0	6996	0	0	6832	0	0	11321	0	0	7199	0	0	2039	0	15861	50248
159	50248	15858	15858	0	7001	0	0	6823	0	0	11328	0	0	7200	0	0	2038	0	15858	50248
160	50248	15857	15857	0	7004	0	0	6821	0	0	11328	0	0	7197	0	0	2041	0	15857	50248
161	50248	15857	15857	0	7005	0	0	6824	0	0	11329	0	0	7199	0	0	2034	0	15857	50248
162	50248	15860	15860	0	7007	0	0	6822	0	0	11326	0	0	7196	0	0	2037	0	15860	50248
163	50248	15865	15865	0	7011	0	0	6823	0	0	11324	0	0	7194	0	0	2031	0	15865	50248
164	50248	15869	15869	0	7011	0	0	6818	0	0	11322	0	0	7206	0	0	2022	0	15869	50248
165	50248	15872	15872	0	7011	0	0	6815	0	0	11331	0	0	7197	0	0	2022	0	15872	50248
166	50248	15874	15874	0	7008	0	0	6823	0	0	11328	0	0	7196	0	0	2019	0	15874	50248
167	50248	15878	15878	0	7001	0	0	6826	0	0	11332	0	0	7194	0	0	2017	0	15878	50248
168	50248	15887	15887	0	6996	0	0	6820	0	0	11334	0	0	7198	0	0	2013	0	15887	50248
169	50248	15891	15891	0	7000	0	0	6825	0	0	11338	0	0	7191	0	0	2003	0	15891	50248
170	50248	15898	15898	0	7000	0	0	6828	0	0	11340	0	0	7181	0	0	2001	0	15898	50248
171	50248	15904	15904	0	6999	0	0	6828	0	0	11343	0	0	7177	0	0	1997	0	15904	50248
172	50248	15912	15912	0	6983	0	0	6842	0	0	11344	0	0	7167	0	0	2000	0	15912	50248
173	50248	15912	15912	0	6980	0	0	6838	0	0	11347	0	0	7169	0	0	2002	0	15912	50248
174	50248	15912	15912	0	6982	0	0	6834	0	0	11356	0	0	7168	0	0	1996	0	15912	50248
175	50248	15912	15912	0	6977	0	0	6838	0	0	11356	0	0	7168	0	0	1997	0	15912	50248
176	50248	15920	15920	0	6977	0	0	6840	0	0	11356	0	0	7165	0	0	1990	0	15920	50248
177	50248	15925	15925	0	6971	0	0	6845	0	0	11363	0	0	7160	0	0	1984	0	15925	50248
178	50248	15927	15927	0	6967	0	0	6844	0	0	11364	0	0	7164	0	0	1982	0	15927	50248
179	50248	15932	15932	0	6970	0	0	6836	0	0	11368	0	0	7158	0	0	1984	0	15932	50248
180	50248	15934	15934	0	6975	0	0	6829	0	0	11369	0	0	7157	0	0	1984	0	15934	50248
181	50248	15933	15933	0	6976	0	0	6833	0	0	11365	0	0	7159	0	0	1982	0	15933	50248
